"FamilyID_idx";"GenusID";"Extinct";"GenusSc";"Authority";"Code";"Comment"
5;6;;"Struthio";"Linnaeus, 1758";;
15;16;;"Rhea";"Brisson, 1760";;
29;30;;"Apteryx";"Shaw, 1813";;
40;41;;"Casuarius";"Brisson, 1760";;
40;47;;"Dromaius";"Vieillot, 1816";"PHY, TAX";"Emus treated previously as a separate family Dromaiidae. Move to subfamily status in Casuariidae aligns with consensus (Christidis & Boles 2008; H&M 4)."
55;56;;"Tinamus";"Hermann, 1783";;
55;80;;"Nothocercus";"Bonaparte, 1856";;
55;91;;"Crypturellus";"Brabourne & Chubb, C, 1914";;
55;168;;"Rhynchotus";"Spix, 1825";;
55;174;;"Nothoprocta";"Sclater, PL & Salvin, 1873";;
55;198;;"Nothura";"Wagler, 1827";;
55;217;;"Taoniscus";"Gloger, 1842";;
55;219;;"Eudromia";"Geoffroy Saint-Hilaire, I, 1832";;
55;234;;"Tinamotis";"Vigors, 1837";;
239;240;;"Alectura";"Latham, 1824";;
239;244;;"Aepypodius";"Oustalet, 1880";;
239;249;;"Talegalla";"Lesson, R, 1828";;
239;255;;"Leipoa";"Gould, 1840";;
239;257;;"Macrocephalon";"Müller, S, 1846";;
239;259;;"Eulipoa";"Ogilvie-Grant, 1893";;
239;261;;"Megapodius";"Gaimard, 1823";;
296;297;;"Ortalis";"Merrem, 1786";;
296;325;;"Penelope";"Merrem, 1786";;
296;365;;"Pipile";"Bonaparte, 1856";;
296;374;;"Aburria";"Reichenbach, 1853";;
296;376;;"Chamaepetes";"Wagler, 1832";;
296;384;;"Penelopina";"Reichenbach, 1861";;
296;386;;"Oreophasis";"Gray, GR, 1844";;
296;388;;"Nothocrax";"Burmeister, 1856";;
296;390;;"Mitu";"Lesson, R, 1831";;
296;395;;"Pauxi";"Temminck, 1813";;
296;401;;"Crax";"Linnaeus, 1758";;
417;418;;"Agelastes";"Bonaparte, 1850";;
417;421;;"Numida";"Linnaeus, 1764";;
417;432;;"Guttera";"Wagler, 1832";;
417;442;;"Acryllium";"Gray, GR, 1840";;
445;446;;"Ptilopachus";"Swainson, 1837";"PHY, SEQ";"Ptilopachus partridges of Africa are more closely related to New World quails (Odontophoridae) and in turn to the guineafowl (Numididae) than to members of Phasianidae (Crowe et al. 2006; Crowe 2010; Cohen et al. 2012). See also Bowie et al. (2013) recommendation to treat as subfamily Ptilopachinae."
445;453;;"Dendrortyx";"Gould, 1844";"SEQ";"Resequenced to reflect phylogenetic results of Tsai et al. (2019; Chesser et al. 2020, NACC 2020-A-06)."
445;465;;"Oreortyx";"Baird, SF, 1858";;
445;472;;"Callipepla";"Wagler, 1832";;
445;495;;"Philortyx";"Gould, 1846";;
445;497;;"Colinus";"Goldfuss, 1820";;
445;545;;"Odontophorus";"Vieillot, 1816";;
445;579;;"Dactylortyx";"Ogilvie-Grant, 1893";;
445;592;;"Cyrtonyx";"Gould, 1844";;
445;599;;"Rhynchortyx";"Ogilvie-Grant, 1893";;
605;606;;"Meleagris";"Linnaeus, 1758";;
605;615;;"Bonasa";"Stephens, 1819";;
605;630;;"Tetrastes";"Keyserling & Blasius, JH, 1840";;
605;646;;"Falcipennis";"Elliot, DG, 1864";;
605;655;;"Tetrao";"Linnaeus, 1758";;
605;668;;"Lyrurus";"Swainson, 1832";;
605;677;;"Centrocercus";"Swainson, 1832";;
605;680;;"Dendragapus";"Elliot, DG, 1864";;
605;691;;"Tympanuchus";"Gloger, 1841";;
605;705;;"Lagopus";"Brisson, 1760";;
605;753;;"Lerwa";"Hodgson, 1837";;
605;755;;"Tetraophasis";"Elliot, DG, 1871";;
605;758;;"Tetraogallus";"Gray, JE, 1832";;
605;779;;"Alectoris";"Kaup, 1829";;
605;816;;"Ammoperdix";"Gould, 1851";;
605;823;;"Francolinus";"Stephens, 1819";;
605;843;;"Peliperdix";"Bonaparte, 1856";;
605;857;;"Scleroptila";"Blyth, 1852";;
605;880;;"Dendroperdix";"Roberts, 1922";;
