"GenusID_idx";"SpeciesID";"Extinct";"SpeciesEn";"SpeciesSc";"Authority";"BrRange";"NonbrRange";"Code";"Comment";"SpeciesUA"
6;7;;"Common Ostrich";"Struthio camelus";"Linnaeus, 1758";"AF : w, c, e, sw";;"TAX";"See Miller et al. (2011) re genetic structure and phylogeography of ostrich populations.";"Страус африканський"
6;12;;"Somali Ostrich";"Struthio molybdophanes";"Reichenow, 1883";"AF : Somalia and n Kenya";;"AS";"Genetic analyses support species recognition of Somali Ostrich and perhaps other subspecies groups (Miller et al. 2011).";" "
16;17;;"Greater Rhea";"Rhea americana";"(Linnaeus, 1758)";"SA : se";;;;"Нанду великий"
16;23;;"Lesser Rhea";"Rhea pennata";"d'Orbigny, 1834";"SA : Southern Cone";;"TAX, ENG";"Pterocnemia merged into Rhea (SACC 348); change English name to Lesser Rhea to conform to general usage.";"Нанду малий"
30;31;;"Southern Brown Kiwi";"Apteryx australis";"Shaw, 1813";"AU : New Zealand";;;;"Ківі бурий"
30;34;;"North Island Brown Kiwi";"Apteryx mantelli";"Bartlett, 1852";"AU : North I. (New Zealand)";;;;" "
30;35;;"Okarito Kiwi";"Apteryx rowi";"Tennyson, Palma, Robertson, Worthy & Gill, BJ, 2003";"AU : w South I. (New Zealand)";;;;" "
30;36;;"Little Spotted Kiwi";"Apteryx owenii";"Gould, 1847";"AU : Kapiti I., South I. (New Zealand)";;;;"Ківі малий"
30;37;;"Great Spotted Kiwi";"Apteryx haastii";"Potts, 1872";"AU : w South I. (New Zealand)";;;;"Ківі сірий"
41;42;;"Southern Cassowary";"Casuarius casuarius";"(Linnaeus, 1758)";"AU : New Guinea, ne Australia and Aru Is.";;;;"Казуар шоломний"
41;43;;"Dwarf Cassowary";"Casuarius bennetti";"Gould, 1857";"AU : New Guinea, Yapen I. and New Britain";;;;"Казуар малий"
41;46;;"Northern Cassowary";"Casuarius unappendiculatus";"Blyth, 1860";"AU : New Guinea, Yapen I. and Salawati I.";;;;"Казуар жовтошиїй"
47;48;;"Emu";"Dromaius novaehollandiae";"(Latham, 1790)";"AU : Australia";;;;"Ему австралійський"
56;57;;"Grey Tinamou";"Tinamus tao";"Temminck, 1815";"SA : Amazonia";;;;"Тао "
56;62;;"Solitary Tinamou";"Tinamus solitarius";"(Vieillot, 1819)";"SA : e Brazil to ne Argentina and e Paraguay";;"TAX, SSP";"Treat as monotypic; subspecies pernambucensis is synonymous with the nominate (Raposo do Amaral & Silveira 2004).";"Тинаму-Самітник "
56;63;;"Black Tinamou";"Tinamus osgoodi";"Conover, 1949";"SA : sc Colombia and se Peru";;;;"Тинаму чорний"
56;66;;"Great Tinamou";"Tinamus major";"(Gmelin, JF, 1789)";"MA, SA : s Mexico through Amazonia";;;;"Тинаму великий"
56;79;;"White-throated Tinamou";"Tinamus guttatus";"Pelzeln, 1863";"SA : Amazonia";;;;"Тинаму білогорлий"
80;81;;"Highland Tinamou";"Nothocercus bonapartei";"(Gray, GR, 1867)";"MA, SA : Costa Rica to Peru";;;;"Тинаму бурий"
80;87;;"Tawny-breasted Tinamou";"Nothocercus julius";"(Bonaparte, 1854)";"SA : c Colombia and w Venezuela to sc Peru";;;;"Тинаму жовтогрудий"
80;88;;"Hooded Tinamou";"Nothocercus nigrocapillus";"(Gray, GR, 1867)";"SA : Peru and Bolivia";;;;"Тинаму чорноголовий"
91;92;;"Berlepsch's Tinamou";"Crypturellus berlepschi";"(Rothschild, 1897)";"SA : w Colombia and nw Ecuador";;;;"Татаупа чорний"
91;93;;"Cinereous Tinamou";"Crypturellus cinereus";"(Gmelin, JF, 1789)";"SA : Amazonia";;;;"Татаупа сірий"
91;94;;"Little Tinamou";"Crypturellus soui";"(Hermann, 1783)";"MA, SA : s Mexico to e Brazil";;;;"Татаупа малий"
91;109;;"Tepui Tinamou";"Crypturellus ptaritepui";"Zimmer, JT & Phelps, 1945";"SA : Venezuela";;;;"Татаупа білоокий"
91;110;;"Brown Tinamou";"Crypturellus obsoletus";"(Temminck, 1815)";"SA : Widespread";;;;"Татаупа каштановий"
91;120;;"Undulated Tinamou";"Crypturellus undulatus";"(Temminck, 1815)";"SA : Amazonia and sc";;;;"Татаупа блідий"
91;127;;"Pale-browed Tinamou";"Crypturellus transfasciatus";"(Sclater, PL & Salvin, 1878)";"SA : w Ecuador and nw Peru";;;;"Татаупа білобровий"
91;128;;"Brazilian Tinamou";"Crypturellus strigulosus";"(Temminck, 1815)";"SA : e Peru and nw Bolivia through s Amazonian Brazil";;;;"Татаупа бразильський"
91;129;;"Grey-legged Tinamou";"Crypturellus duidae";"Zimmer, JT, 1938";"SA : ec Colombia to s Venezuela";;;;"Татаупа сіроногий"
91;130;;"Red-legged Tinamou";"Crypturellus erythropus";"(Pelzeln, 1863)";"SA : n";;;;"Татаупа червононогий"
91;138;;"Yellow-legged Tinamou";"Crypturellus noctivagus";"(Wied-Neuwied, 1820)";"SA : e Brazil";;;;"Татаупа жовтоногий"
91;141;;"Black-capped Tinamou";"Crypturellus atrocapillus";"(Tschudi, 1844)";"SA : Peru and Bolivia";;;;"Татаупа темноголовий"
91;144;;"Thicket Tinamou";"Crypturellus cinnamomeus";"(Lesson, PA, 1842)";"MA : wc Mexico to Costa Rica";;"AS";"Crypturellus cinnamomeus is split from C. erythropus (H&M; BLI; AOU 1998).";"Татаупа чагарниковий"
91;154;;"Slaty-breasted Tinamou";"Crypturellus boucardi";"(Sclater, PL, 1860)";"MA : s Mexico to Costa Rica";;"AS";"Crypturellus boucardi is split from C. erythropus (H&M; BLI; AOU 1998).";"Татаупа сірогрудий"
91;157;;"Choco Tinamou";"Crypturellus kerriae";"(Chapman, 1915)";"MA, SA : se Panama and nw Colombia";;;;"Татаупа панамський"
91;158;;"Variegated Tinamou";"Crypturellus variegatus";"(Gmelin, JF, 1789)";"SA : Amazonia and e Brazil";;;;"Татаупа амазонійський"
91;159;;"Rusty Tinamou";"Crypturellus brevirostris";"(Pelzeln, 1863)";"SA : w, ne Amazonia";;;;"Татаупа короткодзьобий"
91;160;;"Bartlett's Tinamou";"Crypturellus bartletti";"(Sclater, PL & Salvin, 1873)";"SA : w Amazonia";;;;"Татаупа перуанський"
91;161;;"Small-billed Tinamou";"Crypturellus parvirostris";"(Wagler, 1827)";"SA : se Peru and s Amazonian Brazil to ne Argentina";;;;"Татаупа червонодзьобий"
91;162;;"Barred Tinamou";"Crypturellus casiquiare";"(Chapman, 1929)";"SA : e Colombia and s Venezuela";;;;"Татаупа колумбійський"
91;163;;"Tataupa Tinamou";"Crypturellus tataupa";"(Temminck, 1815)";"SA : e, se, sc";;;;"Татаупа сіроголовий"
168;169;;"Red-winged Tinamou";"Rhynchotus rufescens";"(Temminck, 1815)";"SA : e, se, sc";;;;"Інамбу рудошиїй"
168;173;;"Huayco Tinamou";"Rhynchotus maculicollis";"Gray, GR, 1867";"SA : nw Bolivia and nw Argentina";;;;" "
174;175;;"Taczanowski's Tinamou";"Nothoprocta taczanowskii";"Sclater, PL & Salvin, 1875";"SA : sc Peru";;;;"Інамбу перуанський"
174;176;;"Ornate Tinamou";"Nothoprocta ornata";"(Gray, GR, 1867)";"SA : Peru to n Chile and nw Argentina";;"TAX";"Nothoprocta kalinowskii is a synonym of N. ornata (Krabbe & Schulenberg 2005; SACC 246).";"Інамбу рудогрудий"
174;180;;"Chilean Tinamou";"Nothoprocta perdicaria";"(Kittlitz, 1830)";"SA : Chile";;;;"Інамбу чилійський"
174;183;;"Brushland Tinamou";"Nothoprocta cinerascens";"(Burmeister, 1860)";"SA : Southern Cone";;;;"Інамбу чагарниковий"
174;186;;"Andean Tinamou";"Nothoprocta pentlandii";"(Gray, GR, 1867)";"SA : Ecuador to c Argentina";;;;"Інамбу андійський"
174;195;;"Curve-billed Tinamou";"Nothoprocta curvirostris";"Sclater, PL & Salvin, 1873";"SA : Ecuador, Peru";;;;"Інамбу криводзьобий"
198;199;;"White-bellied Nothura";"Nothura boraquira";"(Spix, 1825)";"SA : e Brazil to e Bolivia and ne Paraguay";;;;"Нотура білочеревий"
198;200;;"Lesser Nothura";"Nothura minor";"(Spix, 1825)";"SA : se Brazil";;;;"Нотура-Крихітка "
198;201;;"Darwin's Nothura";"Nothura darwinii";"Gray, GR, 1867";"SA : Peru to sc Argentina";;;;"Нотура дарвіна"
198;207;;"Spotted Nothura";"Nothura maculosa";"(Temminck, 1815)";"SA : se";;;;"Нотура строкатий"
217;218;;"Dwarf Tinamou";"Taoniscus nanus";"(Temminck, 1815)";"SA : se Brazil and ne Argentina";;;;"Інамбу карликовий"
219;220;;"Elegant Crested Tinamou";"Eudromia elegans";"Geoffroy Saint-Hilaire, I, 1832";"SA : Southern Cone";;;;"Інамбу чубатий"
219;231;;"Quebracho Crested Tinamou";"Eudromia formosa";"(Lillo, 1905)";"SA : Paraguay and n Argentina";;;;"Інамбу ошатний"
234;235;;"Puna Tinamou";"Tinamotis pentlandii";"Vigors, 1837";"SA : sc Peru, n Bolivia, n Chile and nw Argentina";;;;"Інамбу червоногузий"
234;236;;"Patagonian Tinamou";"Tinamotis ingoufi";"Oustalet, 1890";"SA : s Chile and sw Argentina";;;;"Інамбу патагонський"
240;241;;"Australian Brushturkey";"Alectura lathami";"Gray, JE, 1831";"AU : e Australia";;;;"Великоніг східний"
244;245;;"Wattled Brushturkey";"Aepypodius arfakianus";"(Salvadori, 1877)";"AU : New Guinea";;;;"Великоніг сірощокий"
244;248;;"Waigeo Brushturkey";"Aepypodius bruijnii";"(Oustalet, 1880)";"AU : Waigeo I. (w Papuan islands)";;;;"Великоніг червонощокий"
249;250;;"Red-billed Brushturkey";"Talegalla cuvieri";"Lesson, R, 1828";"AU : w New Guinea and Misool I.";;"SSP";"Treat as monotypic; includes granti (Beehler & Pratt 2016).";"Великоніг червонодзьобий"
249;251;;"Black-billed Brushturkey";"Talegalla fuscirostris";"Salvadori, 1877";"AU : New Guinea and Aru Is.";;"SSP";"Treat as monotypic; includes occidentis, aruensis and meyeri (Beehler & Pratt 2016).";"Великоніг чорнодзьобий"
249;252;;"Collared Brushturkey";"Talegalla jobiensis";"Meyer, AB, 1874";"AU : New Guinea";;;;"Великоніг буродзьобий"
255;256;;"Malleefowl";"Leipoa ocellata";"Gould, 1840";"AU : s Australia";;;;"Великоніг строкатий"
257;258;;"Maleo";"Macrocephalon maleo";"Müller, S, 1846";"AU : Sulawesi";;;;"Малео "
259;260;;"Moluccan Megapode";"Eulipoa wallacei";"(Gray, GR, 1861)";"AU : Moluccas";;;;"Великоніг молуцький"
261;262;;"Tongan Megapode";"Megapodius pritchardii";"Gray, GR, 1864";"PO : Tonga";;;;"Великоніг полінезійський"
261;263;;"Micronesian Megapode";"Megapodius laperouse";"Gaimard, 1823";"PO : Palau Is. and Mariana Is.";;;;"Великоніг мікронезійський"
261;266;;"Nicobar Megapode";"Megapodius nicobariensis";"Blyth, 1846";"OR : Nicobar Is.";;;;"Великоніг нікобарський"
261;269;;"Philippine Megapode";"Megapodius cumingii";"Dillwyn, 1853";"OR : Philippines, Borneo and Sulawesi";;;;"Великоніг філіпінський"
261;277;;"Sula Megapode";"Megapodius bernsteinii";"Schlegel, 1866";"AU : Sula Is.";;;;"Великоніг сулуйський"
261;278;;"Tanimbar Megapode";"Megapodius tenimberensis";"Sclater, PL, 1883";"AU : Tanimbar Is.";;;;" "
261;279;;"Dusky Megapode";"Megapodius freycinet";"Gaimard, 1823";"AU : Moluccas and New Guinea";;;;"Великоніг джунглевий"
261;285;;"Biak Scrubfowl";"Megapodius geelvinkianus";"Meyer, AB, 1874";"AU : New Guinea";;"ENG";"Change English name of Megapodius geelvinkianus to Biak Scrubfowl (Gregory 2009).";" "
261;286;;"Melanesian Megapode";"Megapodius eremita";"Hartlaub, 1868";"AU : Bismarck Arch. to Solomon Is.";;;;"Великоніг меланезійський"
261;287;;"Vanuatu Megapode";"Megapodius layardi";"Tristram, 1879";"AU : Vanuatu";;;;"Великоніг вануатський"
