"SpeciesID_idx";"SspID";"Extinct";"SspSc";"Authority";"BrRange";"NonbrRange";"Code";"Comment"
7;8;"1";"Struthio camelus syriacus";"Rothschild, 1919";"Syrian and Arabian deserts";;;
7;9;;"Struthio camelus camelus";"Linnaeus, 1758";"s Morocco and Mauritania to s Egypt, Eritrea and n, w Ethiopia, s to Cameroon and n Uganda";;;
7;10;;"Struthio camelus massaicus";"Neumann, 1898";"s Kenya and c Tanzania";;;
7;11;;"Struthio camelus australis";"Gurney Sr, 1868";"s Africa";;;
17;18;;"Rhea americana americana";"(Linnaeus, 1758)";"n, e Brazil";;;
17;19;;"Rhea americana intermedia";"Rothschild & Chubb, C, 1914";"se Brazil and Uruguay";;;
17;20;;"Rhea americana nobilis";"Brodkorb, 1939";"e Paraguay";;;
17;21;;"Rhea americana araneipes";"Brodkorb, 1938";"sw Brazil, e Bolivia and w Paraguay";;;
17;22;;"Rhea americana albescens";"Lynch & Holmberg, 1878";"ne, e Argentina";;;
23;24;;"Rhea pennata garleppi";"(Chubb, C, 1913)";"se Peru, sw Bolivia and nw Argentina";;;
23;25;;"Rhea pennata tarapacensis";"(Chubb, C, 1913)";"n Chile";;;
23;26;;"Rhea pennata pennata";"d'Orbigny, 1834";"s Chile and wc, s Argentina";;;
31;32;;"Apteryx australis australis";"Shaw, 1813";"sw South I.";;;
31;33;;"Apteryx australis lawryi";"Rothschild, 1893";"Stewart I.";;;
43;44;;"Casuarius bennetti westermanni";"Sclater, PL, 1874";"nw New Guinea";;"SSP";"Add as a subspecies of C. bennetti, treated as a full species in Davies 2002. The use of C. b. westermanni rather than C. b. papuanus for the form from the Vogelkop Peninsula with the white occipital region follows Perron (2011) and Beehler & Pratt (2016). The provenance of the specimen associated with papuanus remains unsettled."
43;45;;"Casuarius bennetti bennetti";"Gould, 1857";"New Guinea (except nw), Yapen I. and New Britain";;;
48;49;;"Dromaius novaehollandiae novaehollandiae";"(Latham, 1790)";"mainland Australia";;"SSP";"Includes doubtfully valid rothschildi (Davies 2002;  Marchant & Higgins 1990a)."
48;50;"1";"Dromaius novaehollandiae diemenensis";"Le Souef, 1907";"Tasmania";;;
48;51;"1";"Dromaius novaehollandiae minor";"Spencer, 1906";"King I. (Australia)";;"SSP";"Treat as subspecies rather than species (Fuller 2001; Heupink et al. 2011; Thomson et al. 2018). Epithet minor replaces ater which is a nomen novum for Dromaius novaehollandiae (H&M 4:6)."
48;52;"1";"Dromaius novaehollandiae baudinianus";"Parker, SA, 1984";"Kangaroo I. (Australia)";;"SSP";"Treat as subspecies rather than species (Fuller 2001; Thomson et al. 2018)."
57;58;;"Tinamus tao larensis";"Phelps & Phelps Jr, 1949";"c Colombia and nw Venezuela";;;
57;59;;"Tinamus tao septentrionalis";"Brabourne & Chubb, C, 1913";"ne Venezuela and nw Guyana";;;
57;60;;"Tinamus tao tao";"Temminck, 1815";"nc Brazil";;;
57;61;;"Tinamus tao kleei";"(Tschudi, 1843)";"sc Colombia to e Bolivia and w Brazil";;;
63;64;;"Tinamus osgoodi hershkovitzi";"Blake, 1953";"sc Colombia";;;
63;65;;"Tinamus osgoodi osgoodi";"Conover, 1949";"se Peru";;;
66;67;;"Tinamus major robustus";"Sclater, PL & Salvin, 1868";"se Mexico, Guatemala and Honduras";;;
66;68;;"Tinamus major percautus";"Van Tyne, 1935";"s Mexico, n Guatemala and Belize";;;
66;69;;"Tinamus major fuscipennis";"Salvadori, 1895";"n Nicaragua to w Panama";;;
66;70;;"Tinamus major brunneiventris";"Aldrich, 1937";"sc Panama";;;
66;71;;"Tinamus major castaneiceps";"Salvadori, 1895";"sw Costa Rica and w Panama";;;
66;72;;"Tinamus major saturatus";"Griscom, 1929";"e Panama and nw Colombia";;;
66;73;;"Tinamus major zuliensis";"Osgood & Conover, 1922";"ne Colombia and n Venezuela";;;
66;74;;"Tinamus major latifrons";"Salvadori, 1895";"sw Colombia and w Ecuador";;;
66;75;;"Tinamus major major";"(Gmelin, JF, 1789)";"e Venezuela to ne Brazil";;;
66;76;;"Tinamus major serratus";"(Spix, 1825)";"nw Brazil";;;
66;77;;"Tinamus major olivascens";"Conover, 1937";"Amazonian Brazil";;;
66;78;;"Tinamus major peruvianus";"Bonaparte, 1856";"se Colombia to Bolivia and w Brazil";;;
81;82;;"Nothocercus bonapartei frantzii";"(Lawrence, 1868)";"Costa Rica and w Panama";;;
81;83;;"Nothocercus bonapartei bonapartei";"(Gray, GR, 1867)";"nc Colombia and w Venezuela";;;
81;84;;"Nothocercus bonapartei intercedens";"Salvadori, 1895";"w Colombia";;;
81;85;;"Nothocercus bonapartei discrepans";"Friedmann, 1947";"e Colombia";;;
81;86;;"Nothocercus bonapartei plumbeiceps";"Lönnberg & Rendahl, 1922";"e Ecuador and n Peru";;;
88;89;;"Nothocercus nigrocapillus cadwaladeri";"Carriker, 1933";"nw Peru";;;
88;90;;"Nothocercus nigrocapillus nigrocapillus";"(Gray, GR, 1867)";"c Peru to n Bolivia";;;
94;95;;"Crypturellus soui meserythrus";"(Sclater, PL, 1860)";"s Mexico to se Nicaragua";;;
94;96;;"Crypturellus soui modestus";"(Cabanis, 1869)";"Costa Rica and w Panama";;;
94;97;;"Crypturellus soui capnodes";"Wetmore, 1963";"nw Panama";;;
94;98;;"Crypturellus soui poliocephalus";"(Aldrich, 1937)";"Panama (Pacific slope)";;;
94;99;;"Crypturellus soui panamensis";"(Carriker, 1910)";"Panama";;;
94;100;;"Crypturellus soui mustelinus";"(Bangs, 1905)";"ne Colombia and nw Venezuela";;;
94;101;;"Crypturellus soui soui";"(Hermann, 1783)";"e Colombia to ne Brazil";;;
94;102;;"Crypturellus soui andrei";"(Brabourne & Chubb, C, 1914)";"Trinidad and ne Venezuela";;;
94;103;;"Crypturellus soui caucae";"(Chapman, 1912)";"nc Colombia";;;
94;104;;"Crypturellus soui harterti";"(Brabourne & Chubb, C, 1914)";"w Colombia and w Ecuador";;;
94;105;;"Crypturellus soui caquetae";"(Chapman, 1915)";"se Colombia";;;
94;106;;"Crypturellus soui nigriceps";"(Chapman, 1923)";"e Ecuador and ne Peru";;;
94;107;;"Crypturellus soui albigularis";"(Brabourne & Chubb, C, 1914)";"n, e Brazil";;;
94;108;;"Crypturellus soui inconspicuus";"Carriker, 1935";"c Peru to e Bolivia";;;
110;111;;"Crypturellus obsoletus cerviniventris";"(Sclater, PL & Salvin, 1873)";"n Venezuela";;;
110;112;;"Crypturellus obsoletus knoxi";"Phelps Jr, 1976";"nw Venezuela";;;
110;113;;"Crypturellus obsoletus castaneus";"(Sclater, PL, 1858)";"e Colombia to n Peru";;;
110;114;;"Crypturellus obsoletus ochraceiventris";"(Stolzmann, 1926)";"c Peru";;;
110;115;;"Crypturellus obsoletus traylori";"Blake, 1961";"se Peru";;;
110;116;;"Crypturellus obsoletus punensis";"(Chubb, C, 1918)";"se Peru and n Bolivia";;;
110;117;;"Crypturellus obsoletus griseiventris";"(Salvadori, 1895)";"nc Brazil";;;
110;118;;"Crypturellus obsoletus hypochraceus";"(Miranda-Ribeiro, 1938)";"sw Brazil";;;
